 1 ;        1 ;   0.00% ;   0.74
 1 ;       10 ;  10.00% ;   4.19
 1 ;      100 ;  36.00% ;   7.73
 1 ;     1000 ;  32.10% ;   8.38
 1 ;    10000 ;  28.73% ;   8.39
 1 ;   100000 ;  29.01% ;   8.35
 1 ;   500000 ;  29.21% ;  15.85
 1 ;  1000000 ;  29.14% ;  15.93
 2 ;        1 ;   0.00% ;   0.72
 2 ;       10 ;  20.00% ;   6.10
 2 ;      100 ;  27.00% ;  19.42
 2 ;     1000 ;  30.00% ;  16.12
 2 ;    10000 ;  29.31% ;  15.93
 2 ;   100000 ;  29.14% ;  16.49
 2 ;   500000 ;  29.04% ;  30.71
 2 ;  1000000 ;  29.13% ;  30.96
 4 ;        1 ; 100.00% ;   0.34
 4 ;       10 ;  40.00% ;   2.92
 4 ;      100 ;  32.00% ;  21.45
 4 ;     1000 ;  29.60% ;  30.97
 4 ;    10000 ;  29.24% ;  33.08
 4 ;   100000 ;  29.21% ;  33.39
 4 ;   500000 ;  29.05% ;  32.98
 4 ;  1000000 ;  29.09% ;  59.65
 8 ;        1 ;   0.00% ;   0.33
 8 ;       10 ;   0.00% ;   2.58
 8 ;      100 ;  26.00% ;  23.28
 8 ;     1000 ;  30.20% ;  54.90
 8 ;    10000 ;  29.11% ;  65.44
 8 ;   100000 ;  29.18% ;  65.60
 8 ;   500000 ;  29.17% ;  65.50
 8 ;  1000000 ;  29.12% ;  65.83
12 ;        1 ;   0.00% ;   0.22
12 ;       10 ;  50.00% ;   2.24
12 ;      100 ;  37.00% ;  16.69
12 ;     1000 ;  29.20% ;  54.52
12 ;    10000 ;  29.20% ;  65.36
12 ;   100000 ;  29.10% ;  66.25
12 ;   500000 ;  29.14% ;  67.01
12 ;  1000000 ;  29.09% ;  97.47
16 ;        1 ;   0.00% ;   0.19
16 ;       10 ;  20.00% ;   1.61
16 ;      100 ;  35.00% ;  15.04
16 ;     1000 ;  29.00% ;  56.90
16 ;    10000 ;  28.98% ;  85.30
16 ;   100000 ;  29.02% ;  86.80
16 ;   500000 ;  29.12% ;  87.51
16 ;  1000000 ;  29.06% ;  88.13
20 ;        1 ; 100.00% ;   0.19
20 ;       10 ;  20.00% ;   1.72
20 ;      100 ;  28.00% ;  18.55
20 ;     1000 ;  27.90% ;  67.90
20 ;    10000 ;  29.14% ; 104.06
20 ;   100000 ;  28.96% ; 109.16
20 ;   500000 ;  29.16% ; 107.75
20 ;  1000000 ;  29.09% ; 108.56
24 ;        1 ;   0.00% ;   0.00
24 ;       10 ;  10.00% ;   0.00
24 ;      100 ;  30.00% ;   0.04
24 ;     1000 ;  30.40% ;   0.21
24 ;    10000 ;  29.43% ;   2.62
24 ;   100000 ;  29.39% ;  18.69
24 ;   500000 ;  29.06% ;  50.07
24 ;  1000000 ;  29.03% ; 126.98
32 ;        1 ;   0.00% ;   0.02
32 ;       10 ;  30.00% ;   0.20
32 ;      100 ;  26.00% ;   1.28
32 ;     1000 ;  27.10% ;  16.16
32 ;    10000 ;  29.31% ;  51.95
32 ;   100000 ;  29.05% ;  98.81
32 ;   500000 ;  29.17% ; 152.91
32 ;  1000000 ;  29.15% ; 158.01
