        1000	N     221.60	S    1813.75	(  8.18)	N     223.56	S    1789.57	(  8.00)
       10000	N     221.65	S    1830.29	(  8.26)	N     225.86	S    1850.48	(  8.19)
       50000	N     191.06	S    1251.35	(  6.55)	N     194.88	S    1561.28	(  8.01)
      100000	N     191.12	S    1252.37	(  6.55)	N     194.99	S    1566.57	(  8.03)
      250000	N     207.97	S     884.68	(  4.25)	N     217.98	S    1322.70	(  6.07)
      500000	N     214.57	S     777.45	(  3.62)	N     216.24	S    1569.37	(  7.26)
     1000000	N     209.95	S     768.82	(  3.66)	N     231.53	S    1396.97	(  6.03)
     2000000	N     213.26	S     601.05	(  2.82)	N     217.96	S    1079.87	(  4.95)
     4000000	N     212.89	S     641.96	(  3.02)	N     219.09	S    1146.82	(  5.23)
     6000000	N     211.96	S     737.45	(  3.48)	N     217.73	S    1115.72	(  5.12)
     8000000	N     212.37	S     633.54	(  2.98)	N     218.73	S    1053.59	(  4.82)
