Number of Trials =       1024, Blocksize =        8, MegaTrials/Second =     9.0447, Probability =  21.88%
Number of Trials =       1024, Blocksize =       32, MegaTrials/Second =     5.7783, Probability =  22.17%
Number of Trials =       1024, Blocksize =      128, MegaTrials/Second =    10.7383, Probability =  22.56%
Number of Trials =       4096, Blocksize =        8, MegaTrials/Second =    34.1333, Probability =  21.36%
Number of Trials =       4096, Blocksize =       32, MegaTrials/Second =    38.2090, Probability =  21.97%
Number of Trials =       4096, Blocksize =      128, MegaTrials/Second =    35.6447, Probability =  23.51%
Number of Trials =      16384, Blocksize =        8, MegaTrials/Second =   139.5476, Probability =  22.87%
Number of Trials =      16384, Blocksize =       32, MegaTrials/Second =   131.4168, Probability =  22.41%
Number of Trials =      16384, Blocksize =      128, MegaTrials/Second =   150.1026, Probability =  22.31%
Number of Trials =      65536, Blocksize =        8, MegaTrials/Second =   388.0258, Probability =  22.49%
Number of Trials =      65536, Blocksize =       32, MegaTrials/Second =   488.4331, Probability =  22.18%
Number of Trials =      65536, Blocksize =      128, MegaTrials/Second =   719.1011, Probability =  22.50%
Number of Trials =     262144, Blocksize =        8, MegaTrials/Second =   706.2678, Probability =  22.53%
Number of Trials =     262144, Blocksize =       32, MegaTrials/Second =  1303.2135, Probability =  22.39%
Number of Trials =     262144, Blocksize =      128, MegaTrials/Second =  1850.4631, Probability =  22.51%
Number of Trials =    1048576, Blocksize =        8, MegaTrials/Second =   989.4318, Probability =  22.50%
Number of Trials =    1048576, Blocksize =       32, MegaTrials/Second =  2736.3675, Probability =  22.47%
Number of Trials =    1048576, Blocksize =      128, MegaTrials/Second =  3892.6109, Probability =  22.51%
Number of Trials =    2097152, Blocksize =        8, MegaTrials/Second =  1010.0955, Probability =  22.50%
Number of Trials =    2097152, Blocksize =       32, MegaTrials/Second =  3279.0954, Probability =  22.53%
Number of Trials =    2097152, Blocksize =      128, MegaTrials/Second =  5087.8039, Probability =  22.53%
Number of Trials =    4194304, Blocksize =        8, MegaTrials/Second =  1072.7076, Probability =  22.50%
Number of Trials =    4194304, Blocksize =       32, MegaTrials/Second =  3502.4450, Probability =  22.50%
Number of Trials =    4194304, Blocksize =      128, MegaTrials/Second =  6386.2792, Probability =  22.48%
