
    1024	  32	     32768	    38.336 GigaMultsPerSecond
    2048	  32	     65536	   117.600 GigaMultsPerSecond
    4096	  32	    131072	   196.463 GigaMultsPerSecond
    8192	  32	    262144	   450.879 GigaMultsPerSecond
   16384	  32	    524288	   750.188 GigaMultsPerSecond
   32768	  32	   1048576	  1539.053 GigaMultsPerSecond
   65536	  32	   2097152	  1306.713 GigaMultsPerSecond
  131072	  32	   4194304	  5579.156 GigaMultsPerSecond
  262144	  32	   8388608	 13473.648 GigaMultsPerSecond
  524288	  32	  16777216	 22235.280 GigaMultsPerSecond
    1024	  64	     16384	    53.532 GigaMultsPerSecond
    2048	  64	     32768	    99.297 GigaMultsPerSecond
    4096	  64	     65536	   248.758 GigaMultsPerSecond
    8192	  64	    131072	   491.366 GigaMultsPerSecond
   16384	  64	    262144	   652.683 GigaMultsPerSecond
   32768	  64	    524288	  1997.764 GigaMultsPerSecond
   65536	  64	   1048576	  4108.538 GigaMultsPerSecond
  131072	  64	   2097152	  7070.796 GigaMultsPerSecond
  262144	  64	   4194304	 12260.134 GigaMultsPerSecond
  524288	  64	   8388608	 27389.985 GigaMultsPerSecond
    1024	 128	      8192	    57.722 GigaMultsPerSecond
    2048	 128	     16384	   113.353 GigaMultsPerSecond
    4096	 128	     32768	   200.206 GigaMultsPerSecond
    8192	 128	     65536	   422.984 GigaMultsPerSecond
   16384	 128	    131072	  1064.274 GigaMultsPerSecond
   32768	 128	    262144	  1679.400 GigaMultsPerSecond
   65536	 128	    524288	  3687.296 GigaMultsPerSecond
  131072	 128	   1048576	  6502.485 GigaMultsPerSecond
  262144	 128	   2097152	 14685.448 GigaMultsPerSecond
  524288	 128	   4194304	 17816.107 GigaMultsPerSecond
    1024	 256	      4096	    40.885 GigaMultsPerSecond
    2048	 256	      8192	    74.526 GigaMultsPerSecond
    4096	 256	     16384	   216.738 GigaMultsPerSecond
    8192	 256	     32768	   337.883 GigaMultsPerSecond
   16384	 256	     65536	   644.608 GigaMultsPerSecond
   32768	 256	    131072	  1516.858 GigaMultsPerSecond
   65536	 256	    262144	  2992.592 GigaMultsPerSecond
  131072	 256	    524288	  5644.859 GigaMultsPerSecond
  262144	 256	   1048576	 11126.398 GigaMultsPerSecond
  524288	 256	   2097152	 29860.987 GigaMultsPerSecond
